creationDate		 modificationDate	 substring		Filesize
|27.10.2017 10:32:51|	|05.10.2017 12:29:16|	|2017-10-05_12-15-04|	| 2540.68 KB|
|27.10.2017 10:32:52|	|05.10.2017 13:42:16|	|2017-10-05_13-19-51|	| 4159.75 KB|
|27.10.2017 10:32:55|	|05.10.2017 13:49:50|	|2017-10-05_13-43-21|	| 1158.11 KB|
|27.10.2017 10:32:55|	|05.10.2017 14:09:32|	|2017-10-05_13-51-02|	| 3300.38 KB|
|27.10.2017 10:32:57|	|05.10.2017 14:24:18|	|2017-10-05_14-10-42|	| 2512.46 KB|
|27.10.2017 10:32:59|	|05.10.2017 14:33:22|	|2017-10-05_14-25-32|	| 1420.34 KB|
|27.10.2017 10:33:00|	|05.10.2017 14:48:40|	|2017-10-05_14-34-13|	| 2717.82 KB|
|27.10.2017 10:33:01|	|06.10.2017 09:35:58|	|2017-10-06_09-35-53|	|    7.31 KB|
|27.10.2017 10:33:01|	|06.10.2017 09:52:58|	|2017-10-06_09-36-12|	| 2899.50 KB|
|27.10.2017 10:33:01|	|09.10.2017 14:30:54|	|2017-10-09_14-29-43|	|  214.50 KB|
|27.10.2017 10:33:01|	|09.10.2017 14:32:50|	|2017-10-09_14-30-56|	|  343.42 KB|
|27.10.2017 10:33:01|	|09.10.2017 14:51:36|	|2017-10-09_14-32-51|	| 3428.70 KB|
|27.10.2017 10:33:03|	|10.10.2017 09:04:30|	|2017-10-10_07-35-37|	|16660.56 KB|
|27.10.2017 10:33:08|	|10.10.2017 09:11:02|	|2017-10-10_09-09-59|	|  194.54 KB|
|27.10.2017 10:33:08|	|10.10.2017 09:50:04|	|2017-10-10_09-20-53|	| 5391.85 KB|
|27.10.2017 10:33:10|	|10.10.2017 10:15:32|	|2017-10-10_09-51-37|	| 4611.79 KB|
|27.10.2017 10:33:11|	|10.10.2017 10:44:52|	|2017-10-10_10-20-11|	| 4533.28 KB|
|27.10.2017 10:33:13|	|10.10.2017 11:08:30|	|2017-10-10_10-44-52|	| 4341.30 KB|
|27.10.2017 10:33:14|	|10.10.2017 11:28:20|	|2017-10-10_11-09-15|	| 3475.44 KB|
|27.10.2017 10:33:15|	|10.10.2017 11:47:18|	|2017-10-10_11-29-30|	| 3278.12 KB|
|27.10.2017 10:33:16|	|10.10.2017 12:11:58|	|2017-10-10_11-49-22|	| 4173.02 KB|
|27.10.2017 10:33:17|	|10.10.2017 14:04:10|	|2017-10-10_13-32-28|	| 5785.30 KB|
|27.10.2017 10:33:18|	|10.10.2017 14:35:00|	|2017-10-10_14-04-41|	| 5800.93 KB|
|27.10.2017 10:33:19|	|10.10.2017 14:45:50|	|2017-10-10_14-37-03|	| 1182.33 KB|
|27.10.2017 10:33:20|	|10.10.2017 14:46:42|	|2017-10-10_14-45-51|	|   70.83 KB|
|27.10.2017 10:33:20|	|10.10.2017 15:16:18|	|2017-10-10_14-46-55|	| 3843.84 KB|
|27.10.2017 10:33:21|	|10.10.2017 15:20:52|	|2017-10-10_15-17-44|	|  572.36 KB|
|27.10.2017 10:33:21|	|11.10.2017 08:14:00|	|2017-10-11_08-00-39|	| 2400.79 KB|
|27.10.2017 10:33:22|	|11.10.2017 08:14:04|	|2017-10-11_08-14-00|	|    5.54 KB|
|27.10.2017 10:33:22|	|11.10.2017 08:41:08|	|2017-10-11_08-14-37|	| 5069.58 KB|
|27.10.2017 10:33:25|	|11.10.2017 08:44:34|	|2017-10-11_08-44-27|	|   16.50 KB|
|27.10.2017 10:33:25|	|11.10.2017 09:16:34|	|2017-10-11_08-44-33|	| 6097.32 KB|
|27.10.2017 10:33:26|	|11.10.2017 09:43:16|	|2017-10-11_09-16-53|	| 4936.69 KB|
|27.10.2017 10:33:27|	|11.10.2017 10:11:38|	|2017-10-11_09-44-54|	| 5151.54 KB|
|27.10.2017 10:33:28|	|11.10.2017 10:31:52|	|2017-10-11_10-15-59|	| 2840.78 KB|
|27.10.2017 10:33:29|	|11.10.2017 10:37:32|	|2017-10-11_10-32-33|	|  884.96 KB|
|27.10.2017 10:33:29|	|11.10.2017 10:53:42|	|2017-10-11_10-37-34|	| 3084.29 KB|
|27.10.2017 10:33:31|	|11.10.2017 12:19:34|	|2017-10-11_11-46-41|	| 6055.34 KB|
|27.10.2017 10:33:33|	|11.10.2017 12:55:30|	|2017-10-11_12-29-27|	| 4741.31 KB|
|27.10.2017 10:33:34|	|12.10.2017 08:15:42|	|2017-10-12_07-49-20|	| 5262.51 KB|
|27.10.2017 10:33:35|	|12.10.2017 08:37:58|	|2017-10-12_08-17-18|	| 4111.09 KB|
|27.10.2017 10:33:36|	|12.10.2017 08:54:28|	|2017-10-12_08-38-26|	| 3199.57 KB|
|27.10.2017 10:33:38|	|12.10.2017 09:13:28|	|2017-10-12_08-55-21|	| 3613.93 KB|
|27.10.2017 10:33:39|	|12.10.2017 10:00:34|	|2017-10-12_09-32-51|	| 5546.54 KB|
|27.10.2017 10:33:40|	|12.10.2017 10:18:46|	|2017-10-12_10-02-22|	| 3277.84 KB|
|27.10.2017 10:33:41|	|12.10.2017 10:38:50|	|2017-10-12_10-21-00|	| 3573.09 KB|
|27.10.2017 10:33:42|	|12.10.2017 10:58:12|	|2017-10-12_10-39-42|	| 3690.18 KB|
|27.10.2017 10:33:43|	|12.10.2017 11:18:16|	|2017-10-12_10-58-22|	| 3983.54 KB|
|27.10.2017 10:33:44|	|12.10.2017 11:42:18|	|2017-10-12_11-19-33|	| 4526.74 KB|
|27.10.2017 10:33:46|	|12.10.2017 12:02:18|	|2017-10-12_11-43-27|	| 3771.54 KB|
|27.10.2017 10:33:47|	|12.10.2017 12:21:36|	|2017-10-12_12-02-46|	| 3771.83 KB|
|27.10.2017 10:33:47|	|17.10.2017 12:21:28|	|2017-10-17_10-45-52|	|17818.09 KB|
|27.10.2017 10:33:52|	|17.10.2017 12:33:28|	|2017-10-17_12-28-49|	|  837.11 KB|
|27.10.2017 10:33:52|	|17.10.2017 13:28:20|	|2017-10-17_13-15-09|	| 2460.18 KB|
|27.10.2017 10:33:53|	|17.10.2017 13:51:28|	|2017-10-17_13-30-53|	| 3942.53 KB|
|27.10.2017 10:33:54|	|17.10.2017 14:15:24|	|2017-10-17_13-52-40|	| 4168.88 KB|
|27.10.2017 10:33:56|	|17.10.2017 14:19:44|	|2017-10-17_14-16-41|	|  572.28 KB|
|27.10.2017 10:33:56|	|17.10.2017 14:28:12|	|2017-10-17_14-21-06|	| 1284.68 KB|
|27.10.2017 10:33:56|	|17.10.2017 16:05:48|	|2017-10-17_15-54-29|	| 2073.56 KB|
|27.10.2017 10:33:57|	|17.10.2017 16:36:56|	|2017-10-17_16-10-14|	| 4879.19 KB|
|27.10.2017 10:33:58|	|17.10.2017 16:43:24|	|2017-10-17_16-38-34|	|  884.32 KB|
|27.10.2017 10:33:58|	|17.10.2017 16:49:50|	|2017-10-17_16-44-42|	|  932.99 KB|
|27.10.2017 10:33:58|	|18.10.2017 10:54:28|	|2017-10-18_10-24-45|	| 5484.15 KB|
|27.10.2017 10:34:00|	|18.10.2017 11:12:24|	|2017-10-18_10-56-18|	| 2948.11 KB|
